To-do list,,,,,,
,,,,,,
To be completed by:,,4/23/2026,,Name Chengfu Qu,,
Deadline:,,4/23/2026,,Date 04/23/2026,,
,,,,,,
Project 1,,,,,,
% done,Phase,Start By,Original Due By,Revised Due By,Number Of Days,Revision Notes
100%,Planning,4/23/2026,4/23/2026,,23-Apr-26,
100%,Preparation,4/23/2026,4/23/2026,,4/23/2026,
100%,Working,4/23/2026,4/23/2026,,4/23/2026,check syntax
100%,Double Checking,4/23/2026,4/23/2026,,4/23/2026,check syntax
100%,Finishing,4/23/2026,4/23/2026,,4/23/2026,check syntax
100%,Revising ,4/23/2026,4/23/2026,,4/23/2026,check syntax
100%,FootNote,4/23/2026,4/23/2026,,4/23/2026,check syntax
